id;so_thu_tu;ten_ho_so;noi_luu;thoi_gian_luu
1;Pizza real-time West;Factors;white;2022-07-03T11:51:45
2;Rial protocol;Botswana Rial;Mountains Legacy bluetooth;2022-07-03T17:29:14
3;connect;Agent;Steel deliverables;2022-07-03T19:48:21
4;Music;feed Toys;Grocery Wisconsin;2022-07-03T18:20:10
5;Outdoors Metal;generate York feed;Borders back-end Steel;2022-07-03T06:10:26
6;niches Books;Account redundant;communities Rubber;2022-07-03T05:03:44
7;exploit Berkshire;Bridge web;Home Distributed;2022-07-03T18:51:06
8;Loan Steel compressing;Cheese Grass-roots Lilangeni;Card Designer;2022-07-03T22:42:10
9;wireless ADP;Dynamic grey;Leone Tuna Wooden;2022-07-03T19:15:22
10;ADP Soft program;reinvent;lavender Accountability Avenue;2022-07-03T23:45:05
