id;so_thu_tu;ten_bieu_mau;ma_hieu
1;Fish transition Games;Pennsylvania;Bedfordshire Generic Home
2;Michigan benchmark primary;Naira Table;impactful violet
3;calculating global withdrawal;Spur capacitor Lats;payment Forward Unbranded
4;bus copy Horizontal;Malaysian line Cotton;product Reactive
5;Account line;Upgradable;Central
6;programming approach;Plains Points;Table Junctions
7;mint;Berkshire Architect SMS;Rand
8;adapter Music;connect;HTTP Wooden
9;program;Sterling Refined;Loan Kentucky
10;applications Sri;Global;online synergistic
