id;ma_so_su_co;ngay_bao_cao;don_vi_bao_cao;so_thu_tu;ten_su_co;nhom_su_co;muc_do_su_co
1;Shirt payment;2022-07-03T17:28:12;Triple-buffered Guinea;Investor Texas;Balanced Accounts;Sharable;virtual
2;neural withdrawal;2022-07-03T15:27:04;Intuitive deposit;Wooden program;purple Infrastructure;hack;initiatives silver
3;Health monetize;2022-07-03T10:56:28;intuitive Hat scale;Cotton Interface TCP;Electronics Fresh;Vanuatu;withdrawal protocol Investor
4;TCP schemas clicks-and-mortar;2022-07-03T18:25:41;Borders markets Pizza;incremental Shoes seize;Money Cambridgeshire;Awesome SMTP Pa'anga;quantifying reinvent connect
5;Connecticut Account Grenada;2022-07-04T02:09:56;Security parsing leading-edge;intuitive Account;cross-platform Jewelery;AGP driver;Vermont
6;impactful methodologies neural;2022-07-03T03:52:07;eyeballs;24/7 JSON dynamic;architectures bandwidth;efficient Antilles;web-enabled Avon program
7;USB Money lime;2022-07-03T07:45:55;Sports Refined;Handcrafted;panel Ramp Customer;Shoes Intelligent solid;Bosnia
8;Baht Carolina COM;2022-07-04T01:03:31;deposit;Business-focused card Georgia;visionary Fantastic solid;deposit back-end;Small Producer Sports
9;Connecticut;2022-07-03T13:39:08;deposit;data-warehouse violet dedicated;payment Regional auxiliary;haptic hack Fantastic;deposit
10;Sleek;2022-07-03T13:15:58;HDD Toys;online generating Handmade;Awesome Kyat Polarised;collaboration driver Latvia;frictionless hybrid
