id;vi_tri_xay_ra_su_co;ngay_xay_ra_su_co;thoi_gian
1;Decentralized utilize;2022-07-03T20:32:24;2022-07-03T06:03:50
2;monitor Licensed;2022-07-03T05:11:28;2022-07-03T05:38:02
3;Idaho compressing;2022-07-03T16:15:03;2022-07-03T20:12:14
4;parsing Research Ergonomic;2022-07-03T23:45:48;2022-07-04T01:59:00
5;Exclusive;2022-07-03T12:17:57;2022-07-03T12:40:17
6;Personal Tactics matrices;2022-07-03T14:57:17;2022-07-03T04:34:58
7;Planner Chicken;2022-07-03T13:36:18;2022-07-03T23:48:49
8;aggregate contextually-based programming;2022-07-03T17:30:12;2022-07-03T11:41:33
9;Steel redefine silver;2022-07-03T06:51:40;2022-07-03T23:19:22
10;Sausages RAM;2022-07-03T20:44:09;2022-07-03T11:51:50
